time_stamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
753,-4.06,1.03,0.00,4.69,-0.81,0.00
760,-3.69,1.38,0.00,4.90,-0.79,0.00
766,-3.69,1.82,0.00,4.90,-0.84,0.00
774,-3.88,2.20,0.00,4.73,-0.92,0.00
781,-4.38,2.47,0.00,4.85,-0.95,0.00
785,-4.38,2.76,0.00,4.85,-0.90,0.00
793,-3.81,3.07,0.00,4.78,-0.86,0.00
799,-3.81,3.34,0.00,5.16,-0.87,0.00
805,-4.50,3.26,0.00,5.16,-0.87,0.00
814,-3.44,2.08,0.00,4.80,-0.84,0.00
821,-1.69,-0.10,0.00,4.73,-0.83,0.00
828,-1.69,-1.95,0.00,4.73,-0.87,0.00
832,-1.12,-2.67,0.00,4.83,-0.92,0.00
839,-1.12,-2.50,0.00,4.79,-0.92,0.00
845,-0.38,-2.01,0.00,4.79,-0.96,0.00
852,-0.56,-1.67,0.00,4.74,-0.99,0.00
859,-0.56,-1.65,0.00,4.88,-0.92,0.00
867,0.50,-1.69,0.00,4.88,-0.86,0.00
874,1.00,-1.52,0.00,4.60,-0.83,0.00
882,1.25,-1.07,0.00,4.88,-0.78,0.00
885,1.25,-0.33,0.00,4.88,-0.76,0.00
892,1.44,0.26,0.00,4.78,-0.81,0.00
898,1.44,0.33,0.00,4.71,-0.85,0.00
905,0.75,-0.10,0.00,4.71,-0.83,0.00
914,3.62,-0.82,0.00,4.84,-0.80,0.00
920,3.50,-1.39,0.00,4.79,-0.83,0.00
927,3.50,-1.67,0.00,4.79,-0.81,0.00
934,4.88,-1.71,0.00,4.90,-0.76,0.00
939,4.88,-1.58,0.00,4.84,-0.79,0.00
945,3.88,-1.39,0.00,4.84,-0.92,0.00
952,2.31,-1.14,0.00,5.03,-1.00,0.00
958,2.31,-0.77,0.00,5.03,-0.96,0.00
966,3.50,-0.85,0.00,4.69,-0.91,0.00
975,3.31,-1.70,0.00,4.91,-0.94,0.00
981,2.44,-2.40,0.00,4.78,-0.98,0.00
986,2.44,-2.36,0.00,4.78,-0.99,0.00
995,4.12,-2.02,0.00,4.91,-0.99,0.00
1000,4.12,-1.80,0.00,4.77,-0.97,0.00
1006,2.62,-1.77,0.00,4.77,-0.92,0.00
1015,2.56,-1.78,0.00,4.65,-0.89,0.00
1033,2.94,-1.26,0.00,4.85,-0.77,0.00
1034,2.31,-0.97,0.00,4.85,-0.58,0.00
1041,2.31,-0.82,0.00,4.64,-0.61,0.00
1046,0.81,-0.95,0.00,4.64,-0.72,0.00
1052,0.50,-1.30,0.00,4.83,-0.73,0.00
1059,0.50,-1.41,0.00,4.68,-0.74,0.00
1068,1.12,-1.35,0.00,4.68,-0.76,0.00
1075,0.56,-1.39,0.00,4.93,-0.79,0.00
1081,0.56,-1.40,0.00,4.67,-0.85,0.00
1088,0.56,-1.33,0.00,4.67,-0.95,0.00
1093,-0.62,-1.22,0.00,4.89,-0.98,0.00
1099,-0.62,-1.02,0.00,4.89,-0.87,0.00
1106,-0.44,-0.81,0.00,4.74,-0.79,0.00
1114,-1.25,-0.63,0.00,4.67,-0.79,0.00
1121,-0.88,-0.36,0.00,4.92,-0.78,0.00
1135,-1.56,0.29,0.00,4.79,-0.88,0.00
1140,-1.56,0.25,0.00,4.91,-0.92,0.00
1147,-2.12,0.21,0.00,4.91,-0.89,0.00
1154,-2.06,0.55,0.00,4.63,-0.84,0.00
1160,-2.06,1.08,0.00,4.44,-0.77,0.00
1168,-2.00,1.50,0.00,4.44,-0.69,0.00
1174,-1.88,1.86,0.00,5.10,-0.71,0.00
1181,-1.88,2.26,0.00,4.87,-0.84,0.00
1186,-2.31,2.47,0.00,4.87,-0.85,0.00
1194,-1.81,2.30,0.00,4.63,-0.75,0.00
1200,-1.81,1.99,0.00,4.63,-0.69,0.00
1207,-0.75,1.85,0.00,4.96,-0.69,0.00
1214,-0.12,1.80,0.00,5.22,-0.67,0.00
1243,-0.12,1.54,0.00,4.97,-0.64,0.00
1245,-0.75,1.00,0.00,4.73,-0.67,0.00
1246,-0.75,1.05,0.00,4.73,-0.48,0.00
1248,5.25,1.38,0.00,4.57,-0.39,0.00
1253,3.69,2.32,0.00,4.88,-0.56,0.00
1260,3.69,3.79,0.00,4.88,-0.67,0.00
1268,3.31,5.09,0.00,4.68,-0.64,0.00
1280,4.94,5.99,0.00,4.75,-0.60,0.00
1281,4.94,6.64,0.00,4.60,-0.59,0.00
1285,8.56,7.34,0.00,4.60,-0.66,0.00
1293,7.56,8.58,0.00,4.57,-0.74,0.00
1299,7.56,10.17,0.00,4.57,-0.75,0.00
1308,9.62,11.66,0.00,4.35,-0.71,0.00
1312,12.50,13.45,0.00,4.35,-0.64,0.00
1321,12.50,15.68,0.00,4.84,-0.56,0.00
1332,15.50,18.11,0.00,4.84,-0.49,0.00
1333,19.81,21.17,0.00,4.44,-0.47,0.00
1339,19.81,24.39,0.00,4.44,-0.52,0.00
1345,18.75,26.89,0.00,4.39,-0.56,0.00
1358,24.00,29.14,0.00,3.86,-0.62,0.00
1359,24.00,31.37,0.00,3.86,-0.77,0.00
1368,27.56,33.73,0.00,3.15,-0.86,0.00
1373,31.81,38.46,0.00,5.68,-0.95,0.00
1381,31.81,46.09,0.00,5.55,-1.20,0.00
1385,24.19,54.58,0.00,5.55,-1.34,0.00
1392,28.88,63.21,0.00,4.86,-1.32,0.00
1424,28.88,70.26,0.00,4.86,-1.41,0.00
1425,37.69,74.65,0.00,5.58,-1.55,0.00
1426,40.12,78.61,0.00,4.81,-1.59,0.00
1427,40.12,83.10,0.00,5.35,-1.43,0.00
1429,31.69,87.89,0.00,5.35,-1.18,0.00
1433,35.00,95.69,0.00,5.91,-1.00,0.00
1439,35.00,106.85,0.00,5.91,-0.92,0.00
1453,47.25,113.85,0.00,0.61,-0.68,0.00
1458,46.38,110.25,0.00,7.95,-0.61,0.00
1460,46.38,99.90,0.00,7.95,-1.42,0.00
1469,38.00,95.00,0.00,5.76,-2.22,0.00
1473,31.75,104.28,0.00,3.34,-1.87,0.00
1482,31.75,121.64,0.00,7.77,-1.04,0.00
1485,30.94,135.70,0.00,7.77,-0.83,0.00
1492,30.94,142.98,0.00,4.55,-0.85,0.00
1499,72.31,152.83,0.00,4.55,-0.42,0.00
1505,24.38,171.49,0.00,7.72,-0.21,0.00
1514,42.06,188.49,0.00,8.88,-0.79,0.00
1521,42.06,198.42,0.00,7.74,-1.33,0.00
1531,81.69,207.99,0.00,7.74,-1.23,0.00
1534,101.94,222.22,0.00,7.23,-1.00,0.00
1539,101.94,236.45,0.00,7.23,-1.06,0.00
1545,101.44,244.72,0.00,7.36,-1.27,0.00
1552,101.44,247.86,0.00,7.32,-1.42,0.00
1559,99.75,248.44,0.00,7.32,-1.45,0.00
1569,102.00,248.95,0.00,8.04,-1.49,0.00
